epoch,accuracy,auc,learning_rate,loss,precision,recall,top_2_accuracy,val_accuracy,val_auc,val_loss,val_precision,val_recall,val_top_2_accuracy
0,0.4426370859146118,0.7363313436508179,9.999999747378752e-05,2.6056764125823975,0.4980289041996002,0.373629093170166,0.655083179473877,0.6791707873344421,0.8961634635925293,1.8589197397232056,0.7388724088668823,0.6145113706588745,0.8395853638648987
1,0.598274827003479,0.8527625203132629,9.999999747378752e-05,2.121105194091797,0.6532841324806213,0.5454097390174866,0.789155900478363,0.7828233242034912,0.9544333815574646,1.5329234600067139,0.8164793848991394,0.7532082796096802,0.9180651307106018
2,0.6508933901786804,0.8871605396270752,9.999999747378752e-05,1.94465970993042,0.7047345638275146,0.6052988171577454,0.8280960917472839,0.8292201161384583,0.9688437581062317,1.4086509943008423,0.8632478713989258,0.797630786895752,0.9501480460166931
3,0.7117683291435242,0.9150278568267822,9.999999747378752e-05,1.7886852025985718,0.7555524706840515,0.6707332134246826,0.8661737442016602,0.8385982513427734,0.974006712436676,1.3599392175674438,0.8740031719207764,0.8114511370658875,0.9427443146705627
4,0.7328404188156128,0.9269169569015503,9.999999747378752e-05,1.7067815065383911,0.7755045890808105,0.6959950923919678,0.8807147145271301,0.8534057140350342,0.9773910641670227,1.3257650136947632,0.8845338821411133,0.8242843151092529,0.9412635564804077
5,0.7475045919418335,0.9355342388153076,9.999999747378752e-05,1.6455051898956299,0.7810387015342712,0.7116451263427734,0.8977202773094177,0.8440276384353638,0.9728507995605469,1.3604516983032227,0.8734177350997925,0.8173741102218628,0.9378085136413574
6,0.7779420614242554,0.9483391046524048,9.999999747378752e-05,1.5474971532821655,0.8121657967567444,0.7486136555671692,0.9097966551780701,0.8756169676780701,0.9819350242614746,1.257116675376892,0.8953068852424622,0.8568608164787292,0.9526159763336182
7,0.7864448428153992,0.9529890418052673,9.999999747378752e-05,1.5013933181762695,0.8239654898643494,0.7532963752746582,0.9211336970329285,0.899802565574646,0.9884529709815979,1.1741820573806763,0.9245867729187012,0.8835142850875854,0.9600197672843933
8,0.813185453414917,0.9614606499671936,9.999999747378752e-05,1.4243215322494507,0.8426772952079773,0.7834873795509338,0.9259396195411682,0.899802565574646,0.9894766211509705,1.1454453468322754,0.9165394306182861,0.8889437317848206,0.9664363265037537
9,0.8283425569534302,0.964931070804596,9.999999747378752e-05,1.3767560720443726,0.8521716594696045,0.802711009979248,0.9383857250213623,0.9220138192176819,0.9924840331077576,1.0852925777435303,0.9346938729286194,0.9042448401451111,0.974827229976654
10,0.8309303522109985,0.968084990978241,9.999999747378752e-05,1.3386130332946777,0.8584534525871277,0.8071472644805908,0.9403573870658875,0.9185587167739868,0.9929136633872986,1.05832040309906,0.9362244606018066,0.9057255387306213,0.9787759184837341
11,0.8394331336021423,0.9706044793128967,9.999999747378752e-05,1.3027300834655762,0.8638430833816528,0.8193469047546387,0.9450400471687317,0.9234945774078369,0.9925519824028015,1.048854112625122,0.936354398727417,0.9076998829841614,0.9782823324203491
12,0.8416512608528137,0.9727891683578491,9.999999747378752e-05,1.26774263381958,0.8645724654197693,0.8173752427101135,0.9456561803817749,0.9160908460617065,0.9925522804260254,1.035944938659668,0.9291139245033264,0.9057255387306213,0.974333643913269
13,0.8501540422439575,0.9742105603218079,9.999999747378752e-05,1.2352348566055298,0.8723874092102051,0.8280960917472839,0.948983371257782,0.926949679851532,0.9941716194152832,0.9902315139770508,0.9409969449043274,0.9131293296813965,0.9787759184837341
14,0.8613678216934204,0.9782640933990479,9.999999747378752e-05,1.1749444007873535,0.8811179995536804,0.8430067896842957,0.9578558206558228,0.9323790669441223,0.9949705600738525,0.953244149684906,0.9481443762779236,0.9205330610275269,0.9787759184837341
15,0.8725816607475281,0.9802566766738892,9.999999747378752e-05,1.1312967538833618,0.8877094388008118,0.8553296327590942,0.9566235542297363,0.9471865892410278,0.9959315061569214,0.9042906761169434,0.9556227922439575,0.9353405833244324,0.9827246069908142
16,0.868884801864624,0.9801743626594543,9.999999747378752e-05,1.1076754331588745,0.8875868916511536,0.8494146466255188,0.9619223475456238,0.9299111366271973,0.9930581450462341,0.9255641102790833,0.9391654133796692,0.9220138192176819,0.9812438488006592
17,0.8840419054031372,0.9835385680198669,9.999999747378752e-05,1.0475858449935913,0.9011903405189514,0.8676524758338928,0.9661121368408203,0.9466930031776428,0.9960392117500305,0.8507399559020996,0.9624936580657959,0.9373149275779724,0.9856860637664795
18,0.8893406987190247,0.9846709966659546,9.999999747378752e-05,1.0037224292755127,0.9052591323852539,0.8760320544242859,0.9666050672531128,0.9476801753044128,0.9960801601409912,0.8279630541801453,0.9554331302642822,0.9417571425437927,0.9876604080200195
19,0.8955021500587463,0.9859511852264404,9.999999747378752e-05,0.9634385108947754,0.9102580547332764,0.882439911365509,0.9710412621498108,0.9565646648406982,0.9964012503623962,0.7858049273490906,0.9668174982070923,0.9491609334945679,0.9861796498298645
20,0.8962415456771851,0.9863449931144714,9.999999747378752e-05,0.9356306791305542,0.9120907187461853,0.8821934461593628,0.9679605960845947,0.9328726530075073,0.9950066208839417,0.8071407675743103,0.9411764740943909,0.9239881634712219,0.9832181930541992
21,0.9036352634429932,0.9885121583938599,9.999999747378752e-05,0.8838931322097778,0.9179850816726685,0.8937769532203674,0.972643256187439,0.9624876379966736,0.9966145157814026,0.7180271744728088,0.9675162434577942,0.9555774927139282,0.9891411662101746
22,0.9083179235458374,0.9889252781867981,9.999999747378752e-05,0.8502081036567688,0.9215561747550964,0.8961182832717896,0.975970447063446,0.9570582509040833,0.9965794682502747,0.6996858716011047,0.9645354747772217,0.9531095623970032,0.9921026825904846
23,0.9080714583396912,0.9879726767539978,9.999999747378752e-05,0.8352476358413696,0.9205105304718018,0.8975970149040222,0.9739987850189209,0.9565646648406982,0.9961013793945312,0.678462564945221,0.9631657600402832,0.9550839066505432,0.9886475801467896
24,0.9062230587005615,0.988953709602356,9.999999747378752e-05,0.8039838075637817,0.918465256690979,0.8967344164848328,0.9746149182319641,0.9565646648406982,0.996588408946991,0.6546580195426941,0.9611360430717468,0.9521223902702332,0.9921026825904846
25,0.9131238460540771,0.9902018308639526,9.999999747378752e-05,0.763960599899292,0.9255385994911194,0.9052371978759766,0.9773259162902832,0.9501480460166931,0.9957195520401001,0.6461665034294128,0.9566084742546082,0.9466930031776428,0.9876604080200195
26,0.9229821562767029,0.9908261895179749,9.999999747378752e-05,0.722808301448822,0.9319838881492615,0.9134935140609741,0.9810227751731873,0.9555774927139282,0.9957226514816284,0.6269862651824951,0.965413510799408,0.9506416320800781,0.9871668219566345
27,0.92433762550354,0.9915702939033508,9.999999747378752e-05,0.6915191411972046,0.9332495331764221,0.914849042892456,0.9825015664100647,0.9590325951576233,0.9952173233032227,0.5926421880722046,0.9636091589927673,0.9540967345237732,0.9925962686538696
