epoch,accuracy,auc,learning_rate,loss,precision,recall,top_2_accuracy,val_accuracy,val_auc,val_loss,val_precision,val_recall,val_top_2_accuracy
0,0.31712526082992554,0.6300507187843323,9.999999747378752e-05,2.9387576580047607,0.3522619605064392,0.23382334411144257,0.5439125299453735,0.4393558204174042,0.751742422580719,2.3926637172698975,0.5351170301437378,0.3220936059951782,0.6743835210800171
1,0.41236335039138794,0.7187009453773499,9.999999747378752e-05,2.602592945098877,0.46232324838638306,0.3245382606983185,0.6391506195068359,0.568193256855011,0.8447051644325256,2.06978440284729,0.6395589113235474,0.4670357406139374,0.7961751222610474
2,0.4678979814052582,0.7733141779899597,9.999999747378752e-05,2.3801417350769043,0.5318070650100708,0.38233447074890137,0.7024751901626587,0.6210367679595947,0.8662184476852417,1.9974336624145508,0.6812698245048523,0.5400100946426392,0.7986915111541748
3,0.501193642616272,0.7983754277229309,9.999999747378752e-05,2.2796454429626465,0.5609756112098694,0.41902250051498413,0.7268500924110413,0.6275792717933655,0.8769024610519409,1.952264428138733,0.6985018849372864,0.5631605386734009,0.807750403881073
4,0.5387611389160156,0.8258110284805298,9.999999747378752e-05,2.1582765579223633,0.6041561961174011,0.45294636487960815,0.7634124755859375,0.6648213267326355,0.8896000385284424,1.9009311199188232,0.7149559855461121,0.6134876608848572,0.8278812170028687
5,0.5681618452072144,0.8499574661254883,9.999999747378752e-05,2.052550792694092,0.6360406875610352,0.49491143226623535,0.7897977232933044,0.6522395610809326,0.8891710638999939,1.8986307382583618,0.7225964665412903,0.5938600897789001,0.8112732768058777
6,0.5794697999954224,0.8564221262931824,9.999999747378752e-05,2.018897771835327,0.6442001461982727,0.5079783797264099,0.7973363399505615,0.6985405087471008,0.9158896207809448,1.7245087623596191,0.762077271938324,0.6351283192634583,0.863613486289978
7,0.6066088676452637,0.8733199238777161,9.999999747378752e-05,1.9336636066436768,0.673341691493988,0.5407714247703552,0.8153034448623657,0.7131353616714478,0.9228103756904602,1.6936918497085571,0.7690951824188232,0.6587820649147034,0.8706592917442322
8,0.6357582807540894,0.8901509642601013,9.999999747378752e-05,1.844340443611145,0.6997990608215332,0.568790078163147,0.8380450010299683,0.7458480000495911,0.9339475035667419,1.610613465309143,0.8038983941078186,0.6849521994590759,0.8902868628501892
9,0.6590023636817932,0.8997301459312439,9.999999747378752e-05,1.7905224561691284,0.7147402167320251,0.59278804063797,0.8459605574607849,0.7277302742004395,0.9305021166801453,1.6342698335647583,0.7773325443267822,0.6834423542022705,0.880221426486969
10,0.6770951151847839,0.9089601039886475,9.999999747378752e-05,1.727905035018921,0.7408301830291748,0.6166603565216064,0.8622942566871643,0.7423251271247864,0.9375227093696594,1.5815253257751465,0.7947548627853394,0.7015601396560669,0.8933064937591553
11,0.6873978972434998,0.9171164631843567,9.999999747378752e-05,1.6719896793365479,0.7501128911972046,0.6260836720466614,0.8693303465843201,0.7886260747909546,0.9526061415672302,1.4567582607269287,0.8416473269462585,0.7302466034889221,0.9089078903198242
12,0.699962317943573,0.9216011762619019,9.999999747378752e-05,1.635704755783081,0.7590076923370361,0.6458097696304321,0.8698328733444214,0.7715148329734802,0.9527562856674194,1.4399826526641846,0.8242009282112122,0.7267237305641174,0.9174635410308838
13,0.7178037166595459,0.9291536808013916,9.999999747378752e-05,1.5773707628250122,0.7765387892723083,0.6562381982803345,0.8842819333076477,0.7830901145935059,0.9568778872489929,1.4042754173278809,0.8308207988739014,0.7488676309585571,0.9144439101219177
14,0.7347656488418579,0.9359553456306458,9.999999747378752e-05,1.5210875272750854,0.7837682962417603,0.6867697238922119,0.8979771137237549,0.7956718802452087,0.9542205333709717,1.4025774002075195,0.833983302116394,0.7533971071243286,0.9219929575920105
15,0.7361477613449097,0.9398875832557678,9.999999747378752e-05,1.4782124757766724,0.7864035964012146,0.6860158443450928,0.9056414365768433,0.8147961497306824,0.9652344584465027,1.2950220108032227,0.864745020866394,0.7851031422615051,0.9270256757736206
16,0.751978874206543,0.946536123752594,9.999999747378752e-05,1.4215188026428223,0.800739586353302,0.7073752880096436,0.910038948059082,0.8122798204421997,0.962710976600647,1.3078985214233398,0.8443601131439209,0.7835933566093445,0.9229995012283325
17,0.7764794826507568,0.9529792070388794,9.999999747378752e-05,1.3575880527496338,0.8237038850784302,0.7326297163963318,0.9161955118179321,0.8178157806396484,0.9628111124038696,1.285317301750183,0.8469498753547668,0.7825868129730225,0.9260191321372986
18,0.7708255052566528,0.9533008337020874,9.999999747378752e-05,1.334331750869751,0.8165889382362366,0.7260962724685669,0.919462263584137,0.805737316608429,0.9608869552612305,1.271283507347107,0.8445796370506287,0.7684952020645142,0.9280322194099426
19,0.7831385731697083,0.955436646938324,9.999999747378752e-05,1.2972323894500732,0.8238835334777832,0.7394145131111145,0.9218494892120361,0.8213387131690979,0.9653746485710144,1.221860647201538,0.8550646305084229,0.7986915111541748,0.9245092868804932
20,0.7930644750595093,0.9586922526359558,9.999999747378752e-05,1.2516247034072876,0.8324107527732849,0.7557482123374939,0.9285085797309875,0.8404629826545715,0.9691715240478516,1.163038730621338,0.8732394576072693,0.8112732768058777,0.9305485486984253
21,0.8061314225196838,0.9629762172698975,9.999999747378752e-05,1.197582483291626,0.8424610495567322,0.767307460308075,0.9297650456428528,0.8389531970024109,0.9696288704872131,1.135655164718628,0.8635634183883667,0.8122798204421997,0.9421238303184509
22,0.8115341067314148,0.9657483696937561,9.999999747378752e-05,1.1522836685180664,0.8475877046585083,0.7769820094108582,0.936424195766449,0.8329139351844788,0.9691752791404724,1.1212716102600098,0.861884355545044,0.8102667331695557,0.9396074414253235
23,0.8131675124168396,0.9669619202613831,9.999999747378752e-05,1.1205472946166992,0.849446177482605,0.780500054359436,0.9384344816207886,0.8520382642745972,0.9737954139709473,1.056715965270996,0.8761904835700989,0.8334172368049622,0.9426270723342896
24,0.8189470767974854,0.9686294198036194,9.999999747378752e-05,1.085479497909546,0.8514797687530518,0.7880386710166931,0.9393140077590942,0.8379466533660889,0.9703830480575562,1.0626137256622314,0.8652520179748535,0.8208354115486145,0.9406139850616455
25,0.8273652195930481,0.9711829423904419,9.999999747378752e-05,1.0408567190170288,0.8580880165100098,0.7984671592712402,0.9462243914604187,0.844992458820343,0.9707239270210266,1.035032033920288,0.8656795620918274,0.8238550424575806,0.9360845685005188
