epoch,Precision,Recall,accuracy,auc,learning_rate,loss,val_Precision,val_Recall,val_accuracy,val_auc,val_loss
0,0.5650055408477783,0.5613111257553101,0.5518507361412048,0.5682120323181152,9.999999747378752e-05,1.8563283681869507,0.5150454640388489,1.0,0.5153846144676208,0.4892187714576721,1.780861258506775
1,0.5906519293785095,0.611667811870575,0.5820041298866272,0.6157724261283875,9.999999747378752e-05,1.7313448190689087,0.4023818075656891,0.3787364065647125,0.3907342553138733,0.33425572514533997,1.7933903932571411
2,0.6089362502098083,0.635360062122345,0.6023685932159424,0.6503857970237732,9.999999747378752e-05,1.6272189617156982,0.301075279712677,0.009510869160294533,0.47884616255760193,0.3924223780632019,1.7827486991882324
3,0.6236201524734497,0.6524286866188049,0.6184940934181213,0.6739755868911743,9.999999747378752e-05,1.5288621187210083,0.5105932354927063,0.16372282803058624,0.488811194896698,0.39648500084877014,2.034287691116333
4,0.6376997828483582,0.6742526888847351,0.6352313756942749,0.6985631585121155,8.999999408842996e-05,1.427586317062378,0.4669811427593231,0.40353259444236755,0.4559440612792969,0.4497257471084595,1.5384000539779663
5,0.6373661756515503,0.67238450050354,0.6345322132110596,0.6982561349868774,8.999999408842996e-05,1.3513456583023071,0.3849765360355377,0.027853261679410934,0.4767482578754425,0.5238961577415466,2.3870105743408203
6,0.6537465453147888,0.68605637550354,0.6514443159103394,0.7204580903053284,8.999999408842996e-05,1.2610812187194824,0.5645802021026611,0.772078812122345,0.5762237906455994,0.5689367055892944,1.4117436408996582
7,0.6612300276756287,0.7057574987411499,0.6625005602836609,0.7336106896400452,8.999999408842996e-05,1.178032636642456,0.6612368822097778,0.8135190010070801,0.6895104646682739,0.7196457386016846,1.1556580066680908
8,0.6731635332107544,0.6980298757553101,0.6701918244361877,0.7444572448730469,8.999999408842996e-05,1.099566102027893,0.47087979316711426,0.12907609343528748,0.47709789872169495,0.5018846988677979,1.4631091356277466
9,0.6758960485458374,0.7110224366188049,0.6758292317390442,0.7534138560295105,8.099999104160815e-05,1.027030110359192,0.5201413631439209,1.0,0.5251747965812683,0.8488290309906006,1.3682799339294434
10,0.6762968301773071,0.7096637487411499,0.6757855415344238,0.7617647051811218,8.099999104160815e-05,0.9619230031967163,0.5372260212898254,0.965692937374115,0.5541958212852478,0.5969404578208923,1.3072502613067627
11,0.6824405193328857,0.723760187625885,0.6845256090164185,0.7692531943321228,8.099999104160815e-05,0.9086214303970337,0.2542372941970825,0.00509510887786746,0.4802447557449341,0.38827210664749146,2.461935043334961
